Case Name,User ID,Hacker,Activity with Assets ID,Activity with Asset Time,Number of Transactions Before Activity with Asset,Mixer Activity,Anonymous Activity,Mixer Transaction #,Amount from Mixer,Suspicious Activity (3rd Party),Number of Incoming Transactions,Number of Outgoing Transactions,Total Amount [USD] In,Total Amount [USD] Out,First Activity Time,First Incoming Time [Date],First Outgoing Time [Date],STD of Time Diff Outgoing,STD of Time Diff Incoming,Number of Unique Tokens,Create Smart Contract,
SushiSwap,0x3ddd8b6d092df917473680d6c41f80f708c45395,Yes,0xc2704dec22e552164dee240b20b840ea379b878e,2021-09-16 16:04:19 +0000,1,Yes,Normal Wallet,0xa90d80e03c74bbe47ad27cf9c0c4e74d18318b6c539b41fb66ba9c71b628f843,0.3,Yes,1,0,,,2021-09-01 18:24:53 +0000,2021-09-01 18:24:53 +0000,2021-09-17 12:06:55 +0000,,,,No,
Tecra001,0xb19b7f59c08ea447f82b587c058ecbf5fde9c299,Yes,0x6653d9bcbc28fc5a2f5fb5650af8f2b2e1695a15,2022-02-04 10:54:37 +0000,2,Yes,Tornado Cash,0xbf2fe960a4aabd40bcf189155df4540d2f097999b8a74c0cff6b8652403f6b3b,0.054428,Yes,1,1,,,2022-02-04 10:09:27 +0000,2022-02-04 10:09:27 +0000,2022-02-04 10:54:37 +0000,,,,Yes,
Vesperi,0xa3f447feb0b2bddc50a44ccd6f412a5f98619264,Yes,0x7993e1d66ffb1ab3fb1cb3db87219f532c25bdc8,2021-11-02 14:04:10 +0000,3,Yes,Tornado Cash,0x1423391a93b283e9a001d5faee292cb82c55d04f021c53f7eda0f600665f8cba,99.9273387,Yes,1,2,,,2021-11-01 09:01:16 +0000,2021-11-01 09:01:16 +0000,2021-11-01 09:16:09 +0000,,,,No,
CompounderFinance,0x0b283b107f70d23250f882fbfe7216c38abbd7ca,Yes,0x87654f58faff71f04291b293e4af2d52dcbe7f15,2020-12-01 07:51:17 +0000,183,No,,,,No,94,89,,,2020-11-10 04:58:36 +0000,2020-11-10 04:58:36 +0000,2020-11-10 04:58:36 +0000,,,,No,
Eminence,0x223034edbe95823c1160c16f26e3000315171ca9,Yes,0x3882a1e71636c4d5896af656793cb358e6e9713f,2020-09-29 01:20:41 +0000,4,Yes,Tornado Cash,0x33da50f5ecfa3632976a987cf1e39e04a715e0f794f107ec649086d51ed76dfa,9.8405,Yes,2,2,,,2020-09-21 11:02:51 +0000,2020-09-21 11:02:51 +0000,2020-09-21 13:14:47 +0000,,,,No,
Furucombo,0xb624e2b10b84a41687caec94bdd484e48d76b212,Yes,0xb5a8168c066ef50d63c65501087b7185f8c36279,2021-02-27 17:09:52 +0000,1,Yes,Tornado Cash,0xdd9c9950173d14a7912aac33a13f157e01f4edf732e52caae45f7d7c50d93170,0.954455,Yes,1,0,,,2021-02-26 12:14:04 +0000,2021-02-26 12:14:04 +0000,2021-02-27 16:52:30 +0000,,,,No,
Furucombo,0xB8434F9271D984CD26d5BcBf8DA3522086451610,No,0xb5a8168c066ef50d63c65501087b7185f8c36279,2021-06-17 11:12:50 +0000,2,No,,,,No,0,0,,,2021-06-17 11:12:50 +0000,2021-06-17 11:12:50 +0000,2021-06-17 11:13:55 +0000,,,,No,
Furucombo003,0xb624e2b10b84a41687caec94bdd484e48d76b212,Yes,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,2021-02-27 17:09:52 +0000,1,Yes,Tornado Cash,0xdd9c9950173d14a7912aac33a13f157e01f4edf732e52caae45f7d7c50d93170,0.954455,Yes,1,0,,,2021-02-27 17:09:52 +0000,2021-02-26 12:14:04 +0000,2021-02-27 16:52:30 +0000,,,,No,
Furucombo003,0xFBbe90DD04250B5E789Ed9d1bFBA2476E524a852,No,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,2021-05-09 21:07:29 +0000,125,No,,,,No,52,73,,,2020-10-28 07:08:18 +0000,2020-10-28 07:08:18 +0000,2020-12-28 14:06:31 +0000,,,,No,
Furucombo003,0x59517308c2179efBd7c9d413d72F13046Abc3DEa,No,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,2021-10-26 06:57:01 +0000,0,No,,,,No,0,0,,,2021-10-26 06:57:01 +0000,2021-10-26 06:57:01 +0000,2021-10-26 06:58:03 +0000,,,,No,
Furucombo003,0x0e827d6997DDfbe71797f1599a4e136E86D48424,No,0x60da4b3b53a3cd1ac993091a4dfd3441a68d4181,2021-05-26 18:41:03 +0000,9,No,,,,No,7,2,,,2021-01-23 16:46:07 +0000,2021-01-23 16:46:07 +0000,2021-02-08 19:40:08 +0000,,,,No,
