feature,bin_name,from,to,ref_cnt,ref_frac,tgt_cnt,tgt_frac,ratio
snd_rcv_tkn_type_cnt_tx_max_log_to_median_ratio,bin0,,-0.392036524528634,37749,0.07303242532115771,259,0.1549970077797726,2.122303991660941
snd_rcv_tkn_type_cnt_tx_max_log_to_median_ratio,bin1,-0.392036524528634,0.3777736124907314,383975,0.7428706856523758,313,0.18731298623578696,0.2521475000339959
snd_rcv_tkn_type_cnt_tx_max_log_to_median_ratio,bin2,0.3777736124907314,1.2387126492875913,53850,0.10418278904194397,194,0.11609814482345901,1.1143697139526367
snd_rcv_tkn_type_cnt_tx_max_log_to_median_ratio,bin3,1.2387126492875913,2.217638125283798,20255,0.03918704534901718,84,0.05026929982046679,1.2828040331376387
snd_rcv_tkn_type_cnt_tx_max_log_to_median_ratio,bin4,2.217638125283798,,21051,0.04072705463550534,821,0.49132256134051466,12.063788205105944
snd_rcv_tkn_type_cnt_tx_max_log_to_median_ratio,nan,,,0,0.0,0,0.0,1.0
snd_rcv_tkn_type_cnt_tx_median_log_to_median_ratio,bin0,,-0.3848249639966552,37802,0.07313496362792138,244,0.14602034709754638,1.9965874029887247
snd_rcv_tkn_type_cnt_tx_median_log_to_median_ratio,bin1,-0.3848249639966552,0.37213134132920433,383650,0.742241913016561,321,0.19210053859964094,0.2588112247918217
snd_rcv_tkn_type_cnt_tx_median_log_to_median_ratio,bin2,0.37213134132920433,1.2340081936289473,54218,0.10489475313418975,199,0.11909036505086774,1.1353319541018208
snd_rcv_tkn_type_cnt_tx_median_log_to_median_ratio,bin3,1.2340081936289473,2.2191137829818848,20220,0.0391193313728525,89,0.05326152004787552,1.3615140693543966
snd_rcv_tkn_type_cnt_tx_median_log_to_median_ratio,bin4,2.2191137829818848,,20990,0.04060903884847547,818,0.48952722920406944,12.054637171557856
snd_rcv_tkn_type_cnt_tx_median_log_to_median_ratio,nan,,,0,0.0,0,0.0,1.0
snd_rcv_tkn_type_cnt_tx_mean_log_to_median_ratio,bin0,,-0.38453349763916816,37519,0.0725874477635041,244,0.14602034709754638,2.0116473522156713
snd_rcv_tkn_type_cnt_tx_mean_log_to_median_ratio,bin1,-0.38453349763916816,0.3715753749886452,384003,0.7429248568333076,322,0.19269898264512267,0.2593788333674763
snd_rcv_tkn_type_cnt_tx_mean_log_to_median_ratio,bin2,0.3715753749886452,1.2335199526357803,54147,0.10475739049682711,200,0.11968880909634949,1.142533319403127
