file_name,tp,fp,tn,fn,exp_part,Exploit Types,Minimum Time,train/test splits,Attack Link,catch_any
CompounderFinance001.csv,1,0,25,0,train,Rug pull,23/11/2020 6:05,Train,https://www.coindesk.com/business/2021/10/03/66m-in-tokens-added-to-recently-hacked-still-vulnerable-compound-contract/,True
CompounderFinance004.csv,1,1,12,0,train,Rug pull,21/11/2020 22:40,Train,https://www.coindesk.com/business/2021/10/03/66m-in-tokens-added-to-recently-hacked-still-vulnerable-compound-contract/,True
CompounderFinance005.csv,0,0,2,1,train,Rug pull,01/12/2020 7:36,Train,https://www.coindesk.com/business/2021/10/03/66m-in-tokens-added-to-recently-hacked-still-vulnerable-compound-contract/,False
CompounderFinance006.csv,1,3,16,0,train,Rug pull,14/11/2020 2:37,Train,https://www.coindesk.com/business/2021/10/03/66m-in-tokens-added-to-recently-hacked-still-vulnerable-compound-contract/,True
CompounderFinance007.csv,1,1,19,0,train,Rug pull,23/11/2020 6:05,Train,https://www.coindesk.com/business/2021/10/03/66m-in-tokens-added-to-recently-hacked-still-vulnerable-compound-contract/,True
CompounderFinance008.csv,1,2288,12375,0,train,Rug pull,30/07/2020 6:54,Train,https://www.coindesk.com/business/2021/10/03/66m-in-tokens-added-to-recently-hacked-still-vulnerable-compound-contract/,True
Cream_Finance001.csv,1,61,1045,0,train,Flash Loan Attack,05/02/2021 23:31,Train,https://defiyield.app/rekt-database/cream_finance,True
Cream_Finance002.csv,1,49,378,0,train,Flash Loan Attack,19/10/2020 16:47,Train,https://defiyield.app/rekt-database/cream_finance,True
Cream_Finance003.csv,1,32,170,0,train,Flash Loan Attack,22/03/2021 11:03,Train,https://defiyield.app/rekt-database/cream_finance,True
Cream_Finance004.csv,1,18,420,0,train,Flash Loan Attack,20/03/2021 7:57,Train,https://defiyield.app/rekt-database/cream_finance,True
Cream_Finance005.csv,1,89,965,0,train,Flash Loan Attack,04/11/2020 12:24,Train,https://defiyield.app/rekt-database/cream_finance,True
Cream_Finance006.csv,1,402,3964,0,train,Flash Loan Attack,17/09/2020 4:39,Train,https://defiyield.app/rekt-database/cream_finance,True
Cream_Finance007.csv,1,1642,15043,0,train,Flash Loan Attack,02/08/2020 16:22,Train,https://defiyield.app/rekt-database/cream_finance,True
Cream_Finance008.csv,1,6,24,0,train,Flash Loan Attack,03/08/2021 18:30,Train,https://defiyield.app/rekt-database/cream_finance,True
Cream_Finance009.csv,1,993,7720,0,train,Flash Loan Attack,02/08/2020 16:21,Train,https://defiyield.app/rekt-database/cream_finance,True
Cream_Finance010.csv,1,2,36,0,train,Flash Loan Attack,02/06/2021 8:47,Train,https://defiyield.app/rekt-database/cream_finance,True
Cream_Finance011.csv,1,52,553,0,train,Flash Loan Attack,01/09/2020 17:13,Train,https://defiyield.app/rekt-database/cream_finance,True
Cream_Finance012.csv,1,4,30,0,train,Flash Loan Attack,08/09/2021 22:42,Train,https://defiyield.app/rekt-database/cream_finance,True
Cryptopia001.csv,97,7554,17346,3,train,Access Control,20/10/2018 18:01,Train,https://defiyield.app/rekt-database/cryptopia,True
Cryptopia002.csv,5,2282,8212,0,train,Access Control,15/11/2018 21:31,Train,https://defiyield.app/rekt-database/cryptopia,True
