file_name,tp,fp,tn,fn,exp_part,Exploit Types,Minimum Time,train/test splits,Attack Link
Kucoin002.csv,175,7647,17131,8,train,Access Control,08/08/2019 2:30,Train,https://blog.chainalysis.com/reports/kucoin-hack-2020-defi-uniswap/
LCX001.csv,10,282,8096,0,train,Access Control,07/06/2019 13:59,Train,https://cointelegraph.com/news/lcx-loses-6-8m-in-a-hot-wallet-compromise-over-ethereum-blockchain
Liquid001.csv,54,2365,22581,0,train,Access Control,18/02/2021 13:31,Train,https://www.scorechain.com/blog/liquid-hack-what-we-know-a-few-days-after-the-hack
Liquid002.csv,50,1,3015,3,train,Access Control,18/06/2020 10:32,Train,https://www.scorechain.com/blog/liquid-hack-what-we-know-a-few-days-after-the-hack
Liquid003.csv,0,4,246,1,train,Access Control,18/06/2020 10:45,Train,https://www.scorechain.com/blog/liquid-hack-what-we-know-a-few-days-after-the-hack
Lympo001.csv,0,2,54,1,train,Access Control,29/03/2021 13:10,Train,"https://medium.com/lympo-io/lympo-how-does-it-work-user-reward-solution-description-59660808ce0f#:~:text=does%20it%20work%3F-,User%20reward%20solution%20description,will%20be%20discussed%20in%20detail."
Lympo002.csv,0,0,2,1,train,Access Control,10/01/2022 10:57,Train,https://defiyield.app/rekt-database/lympo
Lympo003.csv,0,0,19,3,train,Access Control,04/08/2021 13:24,Train,"https://medium.com/lympo-io/lympo-how-does-it-work-user-reward-solution-description-59660808ce0f#:~:text=does%20it%20work%3F-,User%20reward%20solution%20description,will%20be%20discussed%20in%20detail."
MerkleTreeVentures001.csv,0,0,19,2,train,Access Control,10/05/2018 15:25,Train,
Nexus_Mutual_Founder_Wallet001.csv,1,17,223,0,train,Phishing,04/11/2018 13:51,Train,
Opyn001.csv,4,7,34,0,train,Access Control,31/07/2020 8:50,Train,https://peckshield.medium.com/opyn-hacks-root-cause-analysis-c65f3fe249db
POKeFARM001.csv,0,24,757,104,train,Rug pull,25/11/2018 14:40,Train,https://archive.ph/H31gM
Poly_Network001.csv,10,2161,22829,0,train,Access Control,28/04/2021 5:54,Train,https://www.coindesk.com/markets/2021/08/10/cross-chain-defi-site-poly-network-hacked-hundreds-of-millions-potentially-lost/
Saddle_Finance2001.csv,0,78,3725,2,train,Access Control,19/01/2021 16:06,Train,https://defiyield.app/rekt-database/saddle
Santa DAO001.csv,4,1,21,0,train,Rug pull,22/10/2020 1:43,Train,https://iconow.net/santadao-hoho-defi-pulls-exit-scam-with-200k/
Stazie001.csv,3,50,1633,0,train,Access Control,26/01/2018 20:36,Train,https://coinlive.me/how-did-the-founder-of-nft-game-steal-16-cryptopunks-4516.html
SynLev001.csv,0,1,42,2,train,Rug pull,02/11/2020 15:07,Train,https://defiyield.app/rekt-database/synlev
SynLev002.csv,0,1,40,3,train,Rug pull,24/12/2020 18:16,Train,https://defiyield.app/rekt-database/synlev
THORChain001.csv,0,1956,16999,8,train,Access Control,10/07/2021 1:51,Train,https://www.coindesk.com/markets/2021/07/23/blockchain-protocol-thorchain-suffers-8m-hack/
Taylor001.csv,0,0,6,1,train,Access Control,23/03/2018 15:59,Train,https://www.zdnet.com/article/all-of-cryptocurrency-trading-app-taylors-funds-have-been-stolen/
Tomatos001.csv,0,0,12,10,train,Rug pull,20/09/2020 8:16,Train,https://web.archive.org/web/20200923085004/https://tomatos.finance/
Tomatos002.csv,1,142,1990,1,train,Rug pull,21/10/2019 15:29,Train,https://web.archive.org/web/20200923085004/https://tomatos.finance/
Umbrella001.csv,34,9,696,1,train,Access Control,23/03/2021 19:35,Train,https://medium.com/uno-re/umbrella-network-hacked-700k-lost-97285b69e8c7
UniCat.csv,8,157,1909,0,train,Rug pull,21/09/2020 0:09,Train,https://zengo.com/unicats-go-phishing/
Unidark001.csv,131,505,5419,0,train,Rug pull,01/10/2020 23:57,Train,https://defiyield.app/rekt-database/unidark
Upbit001.csv,1,2059,22940,0,train,Access Control,19/10/2019 15:35,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/
Upbit004.csv,1,0,78,0,train,Access Control,20/08/2021 6:54,Train,https://www.cylynx.io/blog/tracing-the-trail-of-the-upbit-hack/
